                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6476,                 2.5004,                0.99807,                      1,                0.05333,                0.52665,                0.32293,                 2.0863,                 4.5387,                0.79769,               0.067058,             3.2975e-05,             3.2975e-05
                      2,                 1.4613,                0.92604,                0.98739,                0.74873,                0.47677,                0.64874,                0.23963,                 2.1544,                 1.4485,                0.78679,               0.033757,             6.5645e-05,             6.5645e-05
                      3,                 1.4029,                0.84867,                0.96633,                 0.8211,                0.73434,                0.77165,                0.30292,                 1.9911,                 1.0235,                0.78472,             0.00045607,             9.7649e-05,             9.7649e-05
                      4,                 1.3712,                0.77549,                0.95214,                0.77952,                0.70667,                0.75931,                0.29576,                 2.0358,                 1.0111,                0.77636,                9.7e-05,                9.7e-05,                9.7e-05
                      5,                 1.3206,                0.74449,                0.95113,                 0.7989,                0.71507,                0.77194,                0.28516,                 2.0875,                 0.9602,                0.78979,                9.7e-05,                9.7e-05,                9.7e-05
                      6,                 1.3025,                 0.7286,                0.94266,                0.82756,                0.73587,                0.79078,                0.29928,                 2.0964,                0.97435,                0.78489,                9.6e-05,                9.6e-05,                9.6e-05
                      7,                 1.2451,                0.70098,                0.92829,                 0.7853,                0.76667,                0.80085,                0.30652,                 2.0202,                0.92554,                0.77953,                9.5e-05,                9.5e-05,                9.5e-05
                      8,                 1.2171,                0.67554,                0.93251,                0.81116,                0.77318,                0.81059,                0.29732,                 2.0711,                0.90316,                  0.786,                9.4e-05,                9.4e-05,                9.4e-05
                      9,                 1.2124,                0.66671,                0.91921,                0.90877,                0.79692,                0.86326,                0.36952,                 1.7943,                 0.7936,                0.77715,                9.3e-05,                9.3e-05,                9.3e-05
                     10,                 1.1897,                0.64047,                0.92044,                0.84494,                0.76288,                0.84701,                0.36259,                 1.8209,                0.80737,                0.77415,                9.2e-05,                9.2e-05,                9.2e-05
                     11,                 1.1972,                0.63625,                0.92331,                0.82736,                0.77333,                0.84687,                0.37839,                 1.7473,                0.81542,                 0.7716,                9.1e-05,                9.1e-05,                9.1e-05
                     12,                  1.166,                0.61916,                0.92121,                0.88662,                0.78667,                0.87382,                0.39489,                 1.7218,                0.77283,                0.77369,                  9e-05,                  9e-05,                  9e-05
                     13,                 1.1684,                0.61015,                0.91491,                0.86284,                0.79682,                0.87399,                0.41496,                 1.6394,                0.77306,                0.77069,                8.9e-05,                8.9e-05,                8.9e-05
                     14,                 1.1611,                0.62028,                 0.9186,                0.88261,                0.75189,                0.85051,                 0.3652,                 1.7737,                0.82964,                0.76871,                8.8e-05,                8.8e-05,                8.8e-05
                     15,                 1.1522,                0.61984,                0.91795,                0.86394,                0.77333,                0.84415,                0.38266,                 1.7657,                0.75989,                0.77192,                8.7e-05,                8.7e-05,                8.7e-05
                     16,                 1.1389,                0.59507,                 0.9084,                 0.8469,                0.83333,                0.87758,                0.37044,                 1.8309,                0.77361,                0.77234,                8.6e-05,                8.6e-05,                8.6e-05
                     17,                 1.1327,                0.58945,                0.90976,                0.88052,                   0.82,                0.89106,                0.42129,                 1.6698,                0.73806,                0.77023,                8.5e-05,                8.5e-05,                8.5e-05
                     18,                 1.1297,                0.58129,                0.90193,                0.87615,                   0.76,                0.87384,                0.35868,                 1.8982,                0.81178,                0.77369,                8.4e-05,                8.4e-05,                8.4e-05
                     19,                 1.0934,                0.56286,                0.89452,                0.85979,                0.76667,                0.85039,                0.34395,                 1.9873,                0.82988,                 0.7751,                8.3e-05,                8.3e-05,                8.3e-05
                     20,                 1.0884,                0.57696,                0.89376,                0.84826,                0.78667,                0.86781,                0.37332,                 1.8086,                0.74893,                0.76911,                8.2e-05,                8.2e-05,                8.2e-05
